date,bases,open_access_bases,bytes,open_access_bytes
08/21/2012,7.62707E+14,3.02811E+14,6.18871E+14,3.31398E+14
08/22/2012,7.64887E+14,3.03337E+14,6.20449E+14,3.31728E+14
08/23/2012,7.66856E+14,3.03728E+14,6.21915E+14,3.31982E+14
08/24/2012,7.67221E+14,3.03833E+14,6.22177E+14,3.32051E+14
08/25/2012,7.67248E+14,3.0386E+14,6.22193E+14,3.32067E+14
08/26/2012,7.67298E+14,3.0391E+14,6.22223E+14,3.32097E+14
08/27/2012,7.67983E+14,3.04222E+14,6.22719E+14,3.32301E+14
08/28/2012,7.74393E+14,3.10633E+14,6.26536E+14,3.36119E+14
08/29/2012,7.74804E+14,3.10685E+14,6.2687E+14,3.36158E+14
08/30/2012,7.76344E+14,3.11335E+14,6.27975E+14,3.3661E+14
08/31/2012,7.77702E+14,3.12005E+14,6.28735E+14,3.37012E+14
09/01/2012,7.79523E+14,3.13817E+14,6.29949E+14,3.38221E+14
09/02/2012,7.80413E+14,3.14035E+14,6.30379E+14,3.38364E+14
09/03/2012,7.82866E+14,3.14659E+14,6.32169E+14,3.38756E+14
09/04/2012,7.89342E+14,3.16391E+14,6.35848E+14,3.39962E+14
09/05/2012,7.94755E+14,3.19062E+14,6.39043E+14,3.41729E+14
09/06/2012,8.00218E+14,3.20856E+14,6.42049E+14,3.42945E+14
09/07/2012,8.11185E+14,3.2172E+14,6.47477E+14,3.43487E+14
09/08/2012,8.15765E+14,3.22036E+14,6.49819E+14,3.43681E+14
09/09/2012,8.20965E+14,3.22047E+14,6.5293E+14,3.43687E+14
09/10/2012,8.24094E+14,3.24019E+14,6.55176E+14,3.45055E+14
09/11/2012,8.256E+14,3.24795E+14,6.5619E+14,3.45551E+14
09/12/2012,8.27138E+14,3.25386E+14,6.57259E+14,3.45941E+14
09/13/2012,8.28195E+14,3.26046E+14,6.57965E+14,3.46488E+14
09/14/2012,8.29682E+14,3.26468E+14,6.58905E+14,3.46734E+14
09/15/2012,8.3003E+14,3.26488E+14,6.59159E+14,3.46746E+14
09/16/2012,8.31883E+14,3.27201E+14,6.60522E+14,3.47232E+14
09/17/2012,8.33233E+14,3.27683E+14,6.61438E+14,3.4751E+14
09/18/2012,8.345E+14,3.28915E+14,6.6225E+14,3.48305E+14
09/19/2012,8.35114E+14,3.29359E+14,6.62661E+14,3.48602E+14
09/20/2012,8.36772E+14,3.31016E+14,6.63858E+14,3.49798E+14
09/21/2012,8.37822E+14,3.31929E+14,6.64573E+14,3.50431E+14
09/23/2012,8.37871E+14,3.31977E+14,6.64606E+14,3.50464E+14
09/24/2012,8.37916E+14,3.32023E+14,6.64651E+14,3.50508E+14
09/25/2012,8.38928E+14,3.33035E+14,6.65303E+14,3.51161E+14
09/26/2012,8.40317E+14,3.34423E+14,6.66242E+14,3.52099E+14
09/27/2012,8.4214E+14,3.35708E+14,6.67478E+14,3.52926E+14
09/28/2012,8.44085E+14,3.36592E+14,6.68881E+14,3.53537E+14
09/29/2012,8.45122E+14,3.37629E+14,6.69595E+14,3.54252E+14
09/30/2012,8.46306E+14,3.37765E+14,6.70485E+14,3.54349E+14
10/01/2012,8.46739E+14,3.38197E+14,6.70763E+14,3.54627E+14
10/02/2012,8.47275E+14,3.38733E+14,6.71131E+14,3.54996E+14
10/03/2012,8.48056E+14,3.39515E+14,6.71655E+14,3.55519E+14
10/04/2012,8.48159E+14,3.39618E+14,6.71718E+14,3.55583E+14
10/05/2012,8.52251E+14,3.40298E+14,6.74647E+14,3.55946E+14
10/06/2012,8.54464E+14,3.40776E+14,6.76209E+14,3.56204E+14
10/07/2012,8.597E+14,3.41118E+14,6.80119E+14,3.56385E+14
10/08/2012,8.60205E+14,3.41623E+14,6.80393E+14,3.56659E+14
10/09/2012,8.60756E+14,3.42164E+14,6.80688E+14,3.56948E+14
10/10/2012,8.61612E+14,3.43019E+14,6.81189E+14,3.57449E+14
10/11/2012,8.64191E+14,3.44456E+14,6.83019E+14,3.58424E+14
10/12/2012,8.66832E+14,3.46171E+14,6.8468E+14,3.59395E+14
10/13/2012,8.68323E+14,3.47092E+14,6.85582E+14,3.59872E+14
10/14/2012,8.69317E+14,3.48087E+14,6.86103E+14,3.60393E+14
10/15/2012,8.69648E+14,3.48417E+14,6.86288E+14,3.60578E+14
10/16/2012,8.70839E+14,3.49608E+14,6.87025E+14,3.61315E+14
10/17/2012,8.71581E+14,3.5034E+14,6.8744E+14,3.61724E+14
10/18/2012,8.72371E+14,3.51129E+14,6.87992E+14,3.62275E+14
10/19/2012,8.73481E+14,3.51669E+14,6.88696E+14,3.62665E+14
10/20/2012,8.74272E+14,3.52089E+14,6.89105E+14,3.62927E+14
10/21/2012,8.74445E+14,3.52262E+14,6.89205E+14,3.63027E+14
10/22/2012,8.78632E+14,3.54704E+14,6.91365E+14,3.64226E+14
10/23/2012,8.81525E+14,3.5551E+14,6.92737E+14,3.64695E+14
10/24/2012,8.83436E+14,3.56137E+14,6.93804E+14,3.65122E+14
10/25/2012,8.83892E+14,3.56317E+14,6.94061E+14,3.65243E+14
10/26/2012,8.86922E+14,3.56752E+14,6.95441E+14,3.65547E+14
10/27/2012,8.89244E+14,3.56934E+14,6.96806E+14,3.65656E+14
10/28/2012,8.8938E+14,3.57071E+14,6.96897E+14,3.65747E+14
10/29/2012,8.9003E+14,3.57721E+14,6.97325E+14,3.66175E+14
10/30/2012,8.90867E+14,3.58557E+14,6.97777E+14,3.66627E+14
10/31/2012,8.95459E+14,3.63149E+14,7.00658E+14,3.69508E+14
11/01/2012,8.95653E+14,3.63297E+14,7.00783E+14,3.69605E+14
11/02/2012,8.96635E+14,3.63321E+14,7.01222E+14,3.69619E+14
11/03/2012,8.96781E+14,3.63467E+14,7.0132E+14,3.69717E+14
11/04/2012,8.99357E+14,3.63521E+14,7.0327E+14,3.69749E+14
11/05/2012,9.00368E+14,3.6372E+14,7.04024E+14,3.69875E+14
11/06/2012,9.04043E+14,3.64224E+14,7.06654E+14,3.70214E+14
11/07/2012,9.11648E+14,3.66524E+14,7.12176E+14,3.71796E+14
11/08/2012,9.13692E+14,3.6694E+14,7.13486E+14,3.72149E+14
11/09/2012,9.15593E+14,3.673E+14,7.14665E+14,3.72341E+14
11/10/2012,9.16125E+14,3.67308E+14,7.15069E+14,3.72351E+14
11/11/2012,9.1642E+14,3.67346E+14,7.15292E+14,3.72382E+14
11/12/2012,9.18093E+14,3.68005E+14,7.1646E+14,3.72777E+14
11/13/2012,9.20203E+14,3.68725E+14,7.17655E+14,3.73198E+14
11/14/2012,9.21845E+14,3.69184E+14,7.1881E+14,3.73503E+14
11/15/2012,9.2934E+14,3.69407E+14,7.24128E+14,3.73663E+14
11/16/2012,9.39E+14,3.70022E+14,7.31014E+14,3.74079E+14
11/17/2012,9.44111E+14,3.70739E+14,7.34352E+14,3.74458E+14
11/18/2012,9.463E+14,3.70758E+14,7.35872E+14,3.74491E+14
11/19/2012,9.52268E+14,3.71242E+14,7.40305E+14,3.74752E+14
11/20/2012,9.56573E+14,3.7136E+14,7.4358E+14,3.74831E+14
11/21/2012,9.57722E+14,3.71566E+14,7.44377E+14,3.74955E+14
11/22/2012,9.58802E+14,3.71977E+14,7.44895E+14,3.75229E+14
11/23/2012,9.59316E+14,3.72265E+14,7.45195E+14,3.75432E+14
11/24/2012,9.60387E+14,3.72584E+14,7.4601E+14,3.75679E+14
11/25/2012,9.60421E+14,3.72619E+14,7.46033E+14,3.75702E+14
11/26/2012,9.61659E+14,3.73784E+14,7.46853E+14,3.76474E+14
